NAME,STATE,COUNTY,x,y
Edna Bay,AK,Prince of Wales-Outer Ketchikan Census Area,-133.672,55.949
Tokeen,AK,Prince of Wales-Outer Ketchikan Census Area,-133.325,55.935
Bell Island Hot Springs,AK,Prince of Wales-Outer Ketchikan Census Area,-131.572,55.932
Hyder,AK,Prince of Wales-Outer Ketchikan Census Area,-130.039,55.922
Perryville,AK,Lake and Peninsula Borough,-159.163,55.914
Herendeen Bay,AK,Aleutians East Borough,-160.685,55.77
Meyers Chuck,AK,Prince of Wales-Outer Ketchikan Census Area,-132.257,55.737
Salt Chuck,AK,Prince of Wales-Outer Ketchikan Census Area,-132.558,55.627
Loring,AK,Ketchikan Gateway Borough,-131.622,55.596
Klawock,AK,Prince of Wales-Outer Ketchikan Census Area,-133.099,55.55
Kasaan,AK,Prince of Wales-Outer Ketchikan Census Area,-132.402,55.539
Craig,AK,Prince of Wales-Outer Ketchikan Census Area,-133.134,55.474
Ward Cove,AK,Ketchikan Gateway Borough,-131.741,55.405
Ketchikan,AK,Ketchikan Gateway Borough,-131.642,55.343
Waterfall,AK,Prince of Wales-Outer Ketchikan Census Area,-133.233,55.297
Hydaburg,AK,Prince of Wales-Outer Ketchikan Census Area,-132.817,55.212
Cold Bay,AK,Aleutians East Borough,-162.706,55.197
Unga,AK,Aleutians East Borough,-160.501,55.194
Metlakatla,AK,Prince of Wales-Outer Ketchikan Census Area,-131.582,55.107
Belkofski,AK,Aleutians East Borough,-162.04,55.096
King Cove,AK,Aleutians East Borough,-162.298,55.067
Annette,AK,Prince of Wales-Outer Ketchikan Census Area,-131.571,55.048
Morzhovoi,AK,Aleutians East Borough,-163.309,54.908
Ikatan,AK,Aleutians East Borough,-163.314,54.747
Sanak,AK,Aleutians East Borough,-162.801,54.484
Akutan,AK,Aleutians East Borough,-165.773,54.139
Unalaska,AK,Aleutians West Census Area,-166.539,53.872
Biorka,AK,Aleutians West Census Area,-166.188,53.833
Chernofski,AK,Aleutians West Census Area,-167.549,53.391
Nikolski,AK,Aleutians West Census Area,-168.854,52.947
Attu,AK,Aleutians West Census Area,173.235,52.934
Atka,AK,Aleutians West Census Area,-174.199,52.206
Angle Inlet,MN,Lake of the Woods County,-95.083,49.353
Eastport,ID,Boundary County,-116.183,49
Laurier,WA,Ferry County,-118.226,48.999
Porthill,ID,Boundary County,-116.5,48.998
Portal,ND,Burke County,-102.548,48.997
Noyes,MN,Kittson County,-97.205,48.997
Maida,ND,Cavalier County,-98.366,48.996
Sumas,WA,Whatcom County,-122.268,48.995
Roosville,MT,Lincoln County,-115.059,48.995
Blaine,WA,Whatcom County,-122.75,48.993
Sweetgrass,MT,Toole County,-111.96,48.993
Morgan,MT,Phillips County,-107.834,48.993
Danville,WA,Ferry County,-118.51,48.992
Northgate,ND,Burke County,-102.266,48.992
Molson,WA,Okanogan County,-119.202,48.981
